,track,groundspeed,altitude,timedelta,latitude,longitude,flight_id,callsign,icao24,timestamp
0,174.22702,347.8366,14969.551,0.010041386,48.13571119896075,8.470817008865817,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:18:38.010041386+00:00
1,173.35228,346.95227,14926.575,3.6529334,48.129961005956936,8.471818207413394,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:18:41.652933359+00:00
2,172.7037,345.50528,14838.1875,7.348557,48.124159936887864,8.47292770973039,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:18:45.348556995+00:00
3,172.10677,344.603,14789.313,11.059178,48.1183585958695,8.474129019599888,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:18:49.059178352+00:00
4,171.95709,342.2801,14714.52,14.780609,48.11258168238899,8.47534811424794,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:18:52.780609131+00:00
5,171.79541,341.13818,14653.511,18.461098,48.10688967315759,8.476573629664284,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:18:56.461097717+00:00
6,171.56822,338.54532,14583.073,22.152561,48.101227360896786,8.477826855234825,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:19:00.152561188+00:00
7,171.08775,337.56274,14524.987,25.811972,48.09563765491379,8.479135482045914,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:19:03.811971664+00:00
8,171.1882,335.04276,14463.993,29.529617,48.08999984172752,8.480440113847234,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:19:07.529617310+00:00
9,170.84952,333.73517,14410.461,33.2274,48.084419244268275,8.4817818308987,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:19:11.227401733+00:00
10,171.24826,331.59494,14354.542,37.025455,48.078717829564624,8.483091758861777,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:19:15.025455475+00:00
11,171.23691,330.35022,14323.15,40.635742,48.07331878244949,8.484333712302789,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:19:18.635742188+00:00
12,171.22028,327.6844,14256.023,44.277412,48.06791698613797,8.485578562416473,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:19:22.277412415+00:00
13,171.18483,325.68338,14217.039,47.93215,48.06252941948608,8.486825094047672,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:19:25.932151794+00:00
14,171.31693,323.3111,14168.395,51.67728,48.05704687099989,8.488074165206365,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:19:29.677280426+00:00
15,170.87177,321.32278,14104.864,55.312897,48.05176380095796,8.489340391917844,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:19:33.312896729+00:00
16,170.56206,319.07965,14072.833,59.034603,48.04639812240005,8.490670699921772,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:19:37.034603119+00:00
17,169.97981,317.46396,14040.51,62.669014,48.04119390450026,8.492042031573735,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:19:40.669013977+00:00
18,169.5541,314.8622,13983.396,66.39332,48.03591175627863,8.493494189644206,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:19:44.393318176+00:00
19,168.91022,313.43948,13945.042,70.11273,48.03067158891631,8.495025637935194,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:19:48.112731934+00:00
20,168.51607,310.90894,13906.153,74.01254,48.025229097678526,8.496674095437877,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:19:52.012542725+00:00
21,167.95975,309.08676,13862.338,77.58713,48.02027973417448,8.498247777131349,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:19:55.587127686+00:00
22,167.434,306.99002,13819.95,81.091194,48.01547055261396,8.499845645803251,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:19:59.091194153+00:00
23,166.64955,305.2951,13779.952,84.77581,48.01045731037275,8.50161887729624,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:20:02.775810242+00:00
24,166.22328,303.72186,13715.921,88.468605,48.00546779286813,8.503442086043062,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:20:06.468605042+00:00
25,165.6835,302.1502,13672.301,92.18034,48.00049037339786,8.50533494780105,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:20:10.180343628+00:00
26,165.65004,300.03012,13620.7295,95.85439,47.995598790518265,8.507199520747522,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:20:13.854393005+00:00
27,165.30168,298.4163,13566.184,99.361336,47.99096211161671,8.509011580479417,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:20:17.361335754+00:00
28,165.50255,296.49557,13497.353,103.298615,47.98578524471031,8.51100569766634,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:20:21.298614502+00:00
29,165.21944,294.91473,13451.262,107.011055,47.98093628590159,8.512911441898524,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:20:25.011054993+00:00
30,165.73593,293.81546,13390.872,110.941666,47.97580954112474,8.514852717732136,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:20:28.941665649+00:00
31,165.96436,292.3392,13347.596,114.316986,47.97142477717532,8.516485182140265,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:20:32.316986084+00:00
32,166.40623,290.72662,13266.883,117.8488,47.96685336049911,8.518131316267414,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:20:35.848800659+00:00
33,166.92262,289.14572,13213.464,121.64325,47.96195825824408,8.519824465756495,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:20:39.643249512+00:00
34,167.64651,287.5053,13133.531,125.41566,47.95710537963817,8.521406913554891,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:20:43.415657043+00:00
35,168.20996,286.0559,13070.541,129.01674,47.95248654178464,8.52284218718166,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:20:47.016738891+00:00
36,169.16002,284.2749,12970.228,132.6044,47.947898363639084,8.524150015313642,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:20:50.604400635+00:00
37,169.78288,283.59424,12915.791,136.3007,47.94317302079096,8.525417717086208,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:20:54.300704956+00:00
38,170.83345,281.98172,12815.405,140.11797,47.93830557131774,8.526586711685686,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:20:58.117965698+00:00
39,171.64352,281.35916,12764.62,143.8607,47.93353329225818,8.527629941606673,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:21:01.860702515+00:00
40,172.36426,279.70346,12650.841,147.69054,47.92867010379833,8.528600116559156,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:21:05.690536499+00:00
41,172.99533,280.13757,12580.141,151.01291,47.92443876322409,8.529373672263985,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:21:09.012908936+00:00
42,174.07959,278.7253,12502.697,154.83852,47.919580662790366,8.530123198329157,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:21:12.838516235+00:00
43,174.42207,278.05734,12415.841,158.51501,47.91492029505716,8.530800287561457,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:21:16.515014647+00:00
44,174.76706,276.7876,12319.638,162.4425,47.90996167294275,8.531475834009647,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:21:20.442504883+00:00
45,175.61293,276.43814,12234.137,165.7782,47.90575030401641,8.531956390310114,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:21:23.778198242+00:00
46,176.30563,275.30316,12133.65,169.66554,47.900858436344215,8.532426152533628,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:21:27.665542603+00:00
47,176.61885,274.991,12043.965,173.43279,47.8961214766998,8.532842339280055,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:21:31.432785034+00:00
48,177.20955,273.68253,11945.509,176.831,47.89186650709145,8.533150724900903,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:21:34.830993652+00:00
49,177.75409,273.73175,11858.497,180.64809,47.8870841817402,8.533429592372046,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:21:38.648086548+00:00
50,178.47795,271.8447,11763.2295,184.88513,47.881810108748304,8.533637936038879,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:21:42.885131836+00:00
51,178.78673,271.56335,11666.509,187.82172,47.87815809826899,8.53375291386235,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:21:45.821716309+00:00
52,180.10497,270.4129,11569.54,191.69572,47.8733596223223,8.533739846820689,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:21:49.695724487+00:00
53,180.393,270.07755,11471.946,195.66039,47.86845505494233,8.533689844101117,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:21:53.660385132+00:00
54,181.43292,269.46774,11359.8955,199.26125,47.86401187369006,8.533524665588883,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:21:57.261245728+00:00
55,182.74638,269.1338,11257.694,202.88013,47.85955571587157,8.533207004923378,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:22:00.880126953+00:00
56,184.4438,267.64532,11160.465,206.3114,47.855361749578485,8.532722695343613,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:22:04.311401367+00:00
57,185.20052,267.24777,11062.676,210.21094,47.85060781397019,8.532079814121667,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:22:08.210937500+00:00
58,186.79405,266.2922,10955.471,214.0664,47.845938070378864,8.531253280958234,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:22:12.066406250+00:00
59,188.05916,265.88837,10867.546,217.52687,47.841765137543646,8.530375541869983,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:22:15.526870728+00:00
60,189.93466,264.5211,10752.05,222.12137,47.836281673694764,8.52894890555537,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:22:20.121368408+00:00
61,191.81378,264.0964,10655.278,224.8125,47.83309514363421,8.52795898774166,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:22:22.812500+00:00
